Taxa de analfabetismo - pessoas com 15 anos ou mais - homem 
Sigla;Código;Estado;2017;2018;2019;2022;2023;
AC;12;Acre;12,2;12,2;12,2;9,3;10;
AL;27;Alagoas;18,8;17,3;16,9;15,7;15,3;
AM;13;Amazonas;5,8;5,7;5,6;5,3;5,2;
AP;16;Amapá;5,3;5,5;5,1;5;6;
BA;29;Bahia;12,5;12,5;12,8;10,9;10,9;
CE;23;Ceará;15,2;14;14,8;13,9;14,1;
DF;53;Distrito Federal;2,4;3;2,3;1,7;1,5;
ES;32;Espírito Santo;4,7;4,2;4,5;4,4;4,2;
GO;52;Goiás;5,3;5,4;4,8;4,7;4,2;
MA;21;Maranhão;17,2;16,9;15,8;13,5;12,8;
MG;31;Minas Gerais;5,4;5;5;4,5;4,6;
MS;50;Mato Grosso do Sul;4,6;4,1;4,5;4,1;3,7;
MT;51;Mato Grosso;5,9;6,4;5,5;4,7;4,7;
PA;15;Pará;9,2;9,1;8,7;8,2;7,6;
PB;25;Paraíba;18,1;18,5;17,7;16;16,1;
PE;26;Pernambuco;13,6;12;11,8;12,2;11,1;
PI;22;Piauí;18,2;17;16,8;16,2;14,8;
PR;41;Paraná;3,3;3,8;3,5;3,2;2,9;
RJ;33;Rio de Janeiro;2,3;2;1,9;2,1;1,9;
RN;24;Rio Grande do Norte;15,1;13,6;14,9;12,7;13,4;
RO;11;Rondônia;6,2;5,6;5,4;4,7;5,3;
RR;14;Roraima;5,7;5,8;5,3;4,2;5;
RS;43;Rio Grande do Sul;2,7;2,7;2,4;2,4;2,6;
SC;42;Santa Catarina;2,1;2,1;1,9;1,9;1,7;
SE;28;Sergipe;15,4;14,1;14;13,9;12,6;
SP;35;São Paulo;1,9;2,1;2,1;2;1,9;
TO;17;Tocantins;10,1;9,9;9,2;8;8,1;
