Taxa de analfabetismo - pessoas com 15 anos ou mais - mulher 
Sigla;Código;Estado;2017;2018;2019;2022;2023;
AC;12;Acre;10,8;10,5;9,6;7,8;8,9;
AL;27;Alagoas;16;15,2;15,2;13,2;13,2;
AM;13;Amazonas;5,9;5,3;4,7;4,5;4,9;
AP;16;Amapá;4,6;5,9;5,2;5;5,6;
BA;29;Bahia;11,5;11,4;11,2;9,7;9,5;
CE;23;Ceará;11,6;10,9;10,7;10,3;9;
DF;53;Distrito Federal;2,3;2,7;2,7;2;1,8;
ES;32;Espírito Santo;5,4;5,7;5,1;5,1;4,7;
GO;52;Goiás;5,5;4,9;4,4;4,3;3,8;
MA;21;Maranhão;14,5;13,7;13,5;10,9;10,3;
MG;31;Minas Gerais;5,8;5,8;5;5;4,5;
MS;50;Mato Grosso do Sul;4,5;4,9;4,6;3,9;4,1;
MT;51;Mato Grosso;6,1;6,4;5,8;5,2;4,4;
PA;15;Pará;7,1;7,2;6,9;6,7;6,1;
PB;25;Paraíba;13,5;12,1;12,7;11,5;10,5;
PE;26;Pernambuco;11,9;10,2;10,4;10;9,3;
PI;22;Piauí;13,2;14;13,2;13,5;11,8;
PR;41;Paraná;5,1;5,2;4,8;4,7;4;
RJ;33;Rio de Janeiro;2,5;2,4;2;2,2;2;
RN;24;Rio Grande do Norte;10,8;10,7;10,4;8,5;8,5;
RO;11;Rondônia;6,8;6;6;5;4,9;
RR;14;Roraima;5,4;5,3;3,9;3,5;3,5;
RS;43;Rio Grande do Sul;2,9;2,9;2,4;2,6;2,9;
SC;42;Santa Catarina;2,7;2,4;2,3;2,4;2,2;
SE;28;Sergipe;12,1;11,8;11,4;9,7;9,9;
SP;35;São Paulo;2,8;2,7;2,7;2,4;2,7;
TO;17;Tocantins;8,6;8,2;8,6;6,4;7,4;
