sigla_uf,ano,populacao,populacao_economicamente_ativa
AC,2019,881935,653
AL,2019,3337357,2601
AM,2019,4144597,2987
AP,2019,845731,620
BA,2019,14873064,11808
CE,2019,9132078,7297
DF,2019,3015268,2460
ES,2019,4018650,3233
GO,2019,7018354,5636
MA,2019,7075181,5347
MG,2019,21168791,17383
MS,2019,2778986,2140
MT,2019,3484466,2667
PA,2019,8602865,6546
PB,2019,4018127,3175
PE,2019,9557071,7624
PI,2019,3273227,2591
PR,2019,11433957,9217
RJ,2019,17264943,14530
RN,2019,3506853,2783
RO,2019,1777225,1388
RR,2019,605761,397
RS,2019,11377239,9396
SC,2019,7164788,5899
SE,2019,2298696,1816
SP,2019,45919049,37580
TO,2019,1572866,1223
AC,2020,894470,669
AL,2020,3351543,2602
AM,2020,4207714,3035
AP,2020,861773,658
BA,2020,14930634,12004
CE,2020,9187103,7389
DF,2020,3055149,2491
ES,2020,4064052,3261
GO,2020,7113540,5700
MA,2020,7114598,5325
MG,2020,21292666,17361
MS,2020,2809394,2121
MT,2020,3526220,2731
PA,2020,8690745,6635
PB,2020,4039277,3145
PE,2020,9616621,7555
PI,2020,3281480,2559
PR,2020,11516840,9421
RJ,2020,17366189,14540
RN,2020,3534165,2846
RO,2020,1796460,1404
RR,2020,631181,416
RS,2020,11422973,9418
SC,2020,7252502,6010
SE,2020,2318822,1847
SP,2020,46289333,38322
TO,2020,1590248,1214
AC,2021,906876,674
AL,2021,3365351,2615
AM,2021,4269995,3075
AP,2021,877613,677
BA,2021,14985284,12034
CE,2021,9240580,7467
DF,2021,3094325,2494
ES,2021,4108508,3326
GO,2021,7206589,5793
MA,2021,7153262,5441
MG,2021,21411923,17525
MS,2021,2839188,2157
MT,2021,3567234,2737
PA,2021,8777124,6758
PB,2021,4059905,3200
PE,2021,9674793,7647
PI,2021,3289290,2633
PR,2021,11597484,9393
RJ,2021,17463349,14688
RN,2021,3560903,2899
RO,2021,1815278,1445
RR,2021,652713,424
RS,2021,11466630,9533
SC,2021,7338473,5947
SE,2021,2338474,1873
SP,2021,46649132,38573
TO,2021,1607363,1258
