Despesa por função - educação e cultura - empenhada - estadual
Sigla;Código;Estado;2019;2020;2021;2022;2023;
AC;12;Acre;1417216456,96;1357746543,87;1621822994,6;2098520049,92;2348028381,21;
AL;27;Alagoas;1327350909,31;1244004961,43;1644055724,64;2123822909,82;2159188864,41;
AM;13;Amazonas;3494817357,44;3522191140,82;4069287433,52;5200735814,96;5238786374,81;
AP;16;Amapá;1141264670,09;1164512622,68;1258398373,99;1608960649,81;1637007613,66;
BA;29;Bahia;5603722912,21;5354949076,81;6894003628,14;11444678702,54;12637229896,79;
CE;23;Ceará;3400336529,29;3261797794,45;4320015765,22;5447539966,41;6835302996,76;
DF;53;Distrito Federal;4972352315,19;5032460888,56;5604298918,68;6291615058,45;5816639415,69;
ES;32;Espírito Santo;1453407153,5;1373409819,46;2523530712,91;3079125778,27;3285699122,44;
GO;52;Goiás;5448902014,08;3617252360,37;5610764994,76;5824915549,9;6090054516,99;
MA;21;Maranhão;3062795258,35;3147577879,2;3019032443,73;3775463113,91;3803144060,01;
MG;31;Minas Gerais;9644212862,55;9058806363,31;13669963698,82;16216052551,59;16754659102,65;
MS;50;Mato Grosso do Sul;1846038838,43;1681215061,36;2149074716,9;2912106957,55;3292561617;
MT;51;Mato Grosso;2787323421,22;2752075515,84;3880676574,75;4884443573,95;5496034001,5;
PA;15;Pará;3750041852,5;3940460593,28;4604203766,6;5776418299,04;7323707581,4;
PB;25;Paraíba;2278462900,71;2200299325,66;2877160548,91;3473037242,64;3864924464,55;
PE;26;Pernambuco;3208299074,85;2912428898,63;4490517354,46;6551544189,74;7163168946,57;
PI;22;Piauí;1642831824,9;1338983516,52;1892243598,43;2549804364,63;2646360342,72;
PR;41;Paraná;9287118520,13;9439569788,67;10375715433,64;11751729656,44;13425659281,96;
RJ;33;Rio de Janeiro;6660156436,18;5648233764,9;7028453282,82;9317566283,34;10226170243,83;
RN;24;Rio Grande do Norte;1471527310,86;1447595034,67;1651723609,35;2324968797,71;2630709719,09;
RO;11;Rondônia;1314435591,44;1424259173,43;1866442189,58;2211067008,25;2332459834,49;
RR;14;Roraima;713484978,44;665458077,97;844852494,08;1320536210,9;1591691050,44;
RS;43;Rio Grande do Sul;3872946382,63;3865455430,04;4268794618,66;5476990791,24;5885504232,81;
SC;42;Santa Catarina;3749248002,84;3617891246,45;5438070748,7;7253848925,66;6699528963,48;
SE;28;Sergipe;1063164481,79;1104246801,72;1126849355,8;1907750222,58;1886802386,2;
SP;35;São Paulo;36013498363,54;35694951414,92;45674242690,59;53112442842,94;59163200641,17;
TO;17;Tocantins;1276524192,07;1277358501,64;1660042660,39;2103116850,13;2295794340,69;
