ano;sigla;regiao;estado;valor;valor_anl_negros_prados;valor_anl_brancos;valor_anl_homem;valor_anl_mulher;valor_pobreza;valor_indice_gini;valor_absoluto_disparidade;valor_despesa_educacao;tipo_indicador;data_carga;data_referencia;valor_populacional;valor_pib
2017;AC;"Região Norte        ";"Acre                ";11,5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;AC;"Região Norte        ";"Acre                ";11,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;AC;"Região Norte        ";"Acre                ";10,9;NULL;NULL;NULL;NULL;51,9;0,559;493001,665;1417216456,96;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;881935;NULL
2022;AC;"Região Norte        ";"Acre                ";8,5;NULL;NULL;NULL;NULL;51;0,523;434099,414;2098520049,92;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;830018;NULL
2023;AC;"Região Norte        ";"Acre                ";9,4;NULL;NULL;NULL;NULL;51,4968307368981;0,511;430094,69159199;2348028381,21;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;841672,586285696;1095
2017;AL;"Região Nordeste     ";"Alagoas             ";17,3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2017-12-01;NULL;NULL
2018;AL;"Região Nordeste     ";"Alagoas             ";16,2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2018-12-01;NULL;NULL
2019;AL;"Região Nordeste     ";"Alagoas             ";16;NULL;NULL;NULL;NULL;58,2;0,527;1758787,139;1327350909,31;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2019-12-01;3337357;NULL
2022;AL;"Região Nordeste     ";"Alagoas             ";14,4;NULL;NULL;NULL;NULL;54,2;0,498;1557586,134;2123822909,82;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2022-12-01;3127683;NULL
2023;AL;"Região Nordeste     ";"Alagoas             ";14,2;NULL;NULL;NULL;NULL;46,2283508450686;0,486;1526415,79120891;2159188864,41;"ANALFABETISMO - VISÃO UF                          ";2025-01-13 07:03:54.287;2023-12-01;3140773,23294013;1110
